,Team,EffHgt,C-Hgt,Bench,Continuity,Experience
136,Indiana St.,-0.6,-0.7,35.8,3.1,1.11
137,Quinnipiac,-0.5,-1.0,31.8,60.9,1.79
138,Texas A&M,-0.5,-0.9,39.0,68.7,2.98
139,South Carolina St.,-0.1,+0.5,43.7,65.4,1.33
140,Morehead St.,+0.0,+0.5,39.1,16.9,1.62
141,Appalachian St.,+1.6,+1.4,25.7,22.8,2.23
142,Incarnate Word,-0.3,-0.8,26.1,27.8,1.85
143,Eastern Washington,-0.8,-0.8,32.6,9.5,0.30
144,Jacksonville,+0.2,-0.4,34.3,38.2,1.56
145,Saint Joseph's,+0.6,+0.1,22.5,53.7,2.22
146,Miami OH,+0.4,+1.1,33.7,38.6,1.28
147,Nebraska Omaha,+0.0,-0.9,31.1,46.1,1.79
148,Charlotte,-0.3,-0.8,30.5,33.9,1.81
149,Toledo,-0.4,-0.7,25.7,47.4,1.87
150,Stony Brook,-0.7,-0.3,27.5,23.9,1.93
151,South Dakota,-0.6,+0.6,38.1,49.0,1.84
152,Bethune Cookman,-0.8,-1.4,30.5,18.1,1.60
153,CSUN,-0.9,-1.1,28.5,28.7,1.83
154,Marshall,-0.2,-0.8,25.0,37.7,2.31
155,Villanova,+0.3,+0.5,20.0,24.8,2.89
156,Mississippi St.,+0.3,+0.6,31.8,41.5,2.27
157,Towson,-0.2,-0.4,35.5,74.7,2.17
158,Western Carolina,+0.6,+0.3,32.9,9.8,0.56
159,Virginia Tech,+0.2,+0.2,39.7,14.8,1.04
160,Loyola MD,-0.4,+0.6,24.1,44.3,1.25
161,Drake,-1.3,-1.7,24.4,4.4,0.33
162,Rhode Island,+0.6,+1.1,32.6,38.5,2.28
164,Gonzaga,+0.7,+0.5,31.7,70.3,2.98
165,Ball St.,+0.5,+0.5,29.6,27.0,2.38
166,Abilene Christian,-0.6,-0.4,34.0,34.9,1.34
167,Eastern Michigan,+0.2,-0.6,22.2,28.5,1.80
168,Saint Peter's,+0.1,+0.1,29.0,40.5,1.18
169,Xavier,+0.5,+0.1,24.2,25.9,3.54
170,Delaware,-1.3,-1.4,20.5,28.3,1.11
171,Kansas St.,+1.1,+1.0,24.1,15.9,2.57
172,Utah St.,+0.3,+1.1,35.7,34.5,2.16
173,West Virginia,+0.2,-0.1,27.4,0.0,2.14
174,Georgia Southern,+0.2,-0.4,39.1,36.0,1.26
175,Charleston Southern,+0.1,+0.3,20.3,33.0,2.25
176,Holy Cross,-1.6,-2.1,26.5,46.7,1.14
177,Texas A&M Corpus Chris,+0.1,-0.8,45.0,53.6,1.37
178,UNC Asheville,+0.1,-0.6,20.9,39.8,2.20
179,Colgate,-0.3,+0.4,34.7,50.3,1.27
180,Maine,-0.0,+0.5,24.0,52.3,2.25
181,SIUE,+0.6,+0.5,25.3,36.2,1.53
182,North Texas,+0.5,-0.4,32.1,17.4,2.86
183,DePaul,-0.1,-0.2,38.4,0.0,2.17
184,Middle Tennessee,+0.4,+0.3,31.1,42.0,2.50
185,Purdue,+0.5,+0.4,29.6,54.2,1.74
186,Colorado St.,-0.5,-0.8,31.4,34.1,2.39
187,Western Illinois,-0.6,-1.0,23.8,21.9,1.28
188,Cal St. Fullerton,+0.2,+0.2,43.0,28.1,0.94
189,New Hampshire,-0.1,+0.2,34.6,8.6,0.51
190,Florida A&M,+0.8,+0.9,34.9,27.2,0.76
191,South Dakota St.,+0.7,+1.5,31.2,20.0,0.77
192,Tennessee,+1.2,+1.3,25.3,36.2,2.93
193,Oklahoma,+0.2,+0.8,34.5,24.5,2.29
194,Providence,-0.1,+0.7,32.5,34.0,1.90
