Team,SOS
Lindenwood,-6.9
Coastal Carolina,-4.2
Niagara,-7.46
East Texas A&M,-0.3
North Carolina A&T,-2.3
Morgan St.,-7.41
Stony Brook,-2.39
Green Bay,-1.02
Southern Indiana,-7.35
Fairfield,-5.93
Detroit Mercy,-1.91
USC Upstate,-0.01
Western Carolina,1.03
Buffalo,-3.32
Bellarmine,-3.19
Mercyhurst,-8.61
New Orleans,1.06
Sacramento St.,-2.89
Cal St. Fullerton,2.86
Louisiana Monroe,-2.55
Wagner,-10.03
Western Illinois,-7.57
West Georgia,-1.82
Northern Illinois,-2.92
Central Arkansas,-1.98
Stetson,-3.28
Le Moyne,-7.11
NJIT,-5.57
New Hampshire,-5.76
The Citadel,-2.26
Prairie View A&M,-4.19
Canisius,-4.17
Alabama A&M,-9.48
Chicago St.,-2.65
Coppin St.,-2.33
Maryland Eastern Shore,-1.55
Arkansas Pine Bluff,-7.52
Mississippi Valley St.,-1.73
