,Team,3P%,FT%,3PA%
160,Saint Joseph's,34.2,75.0,45.9
161,Davidson,34.2,74.3,41.8
162,Texas A&M Corpus Chris,34.2,62.4,28.4
164,Rice,34.2,68.4,39.4
165,Robert Morris,34.2,72.2,36.4
166,Appalachian St.,34.1,65.2,41.0
167,Austin Peay,34.1,71.1,40.3
168,Mount St. Mary's,34.1,73.7,40.2
169,North Alabama,34.1,71.0,35.2
170,Kansas St.,34.0,68.5,40.5
171,Drexel,34.0,69.3,36.9
172,Kansas,34.0,70.4,33.9
173,SIUE,34.0,67.8,36.8
174,Lafayette,34.0,69.0,40.5
175,Northwestern,34.0,73.0,34.0
176,San Francisco,33.9,71.3,44.1
177,Saint Mary's,33.9,69.9,33.8
178,Toledo,33.9,74.8,29.1
179,Niagara,33.9,73.9,43.3
180,Pepperdine,33.9,71.1,33.5
181,North Carolina Central,33.9,69.0,33.2
182,Northern Arizona,33.9,66.5,38.4
183,UC Riverside,33.8,76.3,41.8
184,Stanford,33.8,78.9,41.2
185,Saint Francis,33.8,72.6,41.6
186,Rutgers,33.8,72.2,36.3
187,South Carolina St.,33.8,68.8,33.2
188,DePaul,33.8,70.6,47.1
189,Northwestern St.,33.7,69.2,35.2
190,Jacksonville St.,33.7,76.4,36.8
191,Air Force,33.7,64.0,47.2
192,UNC Wilmington,33.7,74.1,36.1
193,Northeastern,33.7,69.6,35.1
194,Siena,33.6,74.3,40.5
195,Utah Valley,33.6,68.5,31.2
196,Bryant,33.6,71.1,35.6
197,Penn St.,33.5,75.8,36.2
198,Stetson,33.5,73.9,37.7
199,Wofford,33.5,66.5,47.2
200,Stony Brook,33.5,74.8,39.4
201,UNLV,33.5,72.3,33.8
202,Creighton,33.5,73.8,49.5
203,Utah Tech,33.5,68.9,40.0
205,Bowling Green,33.5,75.3,40.1
206,Navy,33.5,71.9,37.3
207,Denver,33.4,74.4,37.1
208,Brown,33.3,62.7,40.1
209,Murray St.,33.3,72.4,39.6
210,Portland,33.3,78.3,43.3
211,Tulane,33.3,75.7,39.9
212,Utah,33.2,63.8,43.4
213,Georgia,33.2,71.8,36.6
214,Longwood,33.2,72.5,34.0
215,Detroit Mercy,33.2,73.5,28.4
216,Green Bay,33.2,78.9,46.5
217,Cincinnati,33.2,66.7,38.0
218,Louisville,33.1,74.5,49.3
219,Towson,33.1,68.7,37.5
220,Gardner Webb,33.1,68.5,33.4
221,Arkansas,33.1,72.9,36.5
222,Portland St.,33.1,63.8,30.4
223,Le Moyne,33.0,71.6,41.6
224,Winthrop,33.0,67.1,37.4
225,UCF,32.9,77.7,40.6
226,San Diego St.,32.9,67.6,38.5
227,Tarleton St.,32.9,73.9,25.5
228,Syracuse,32.9,70.6,32.7
229,Marquette,32.9,72.9,46.5
230,St. Bonaventure,32.9,73.1,34.5
231,Hampton,32.9,70.8,36.6
232,Vanderbilt,32.8,74.8,40.2
233,Boston University,32.7,66.1,42.4
234,Alcorn St.,32.7,72.0,30.3
235,Northern Illinois,32.7,70.8,48.5
236,Elon,32.7,75.7,41.8
237,Loyola MD,32.6,69.1,39.6
238,Saint Peter's,32.6,72.7,38.6
239,Merrimack,32.6,71.8,42.6
240,Marist,32.6,69.6,37.1
241,Minnesota,32.6,66.6,36.4
242,West Virginia,32.6,72.7,46.2
243,Houston Christian,32.6,70.2,43.8
244,Kansas City,32.6,77.1,44.2
246,Loyola Marymount,32.5,71.6,40.1
247,Wagner,32.5,71.1,37.4
248,Penn,32.5,69.3,44.8
249,Alabama St.,32.5,69.9,43.2
250,Nebraska,32.5,74.8,38.4
251,Hofstra,32.5,71.6,42.0
252,Mercer,32.4,64.5,40.3
253,Tennessee St.,32.4,68.3,33.8
254,Vermont,32.4,72.1,43.1
255,Indiana,32.4,71.1,33.3
256,Fairleigh Dickinson,32.4,71.3,41.6
257,New Hampshire,32.4,65.6,40.7
258,Seattle,32.4,72.7,37.5
259,Central Connecticut,32.3,73.6,34.1
260,Marshall,32.3,68.6,40.0
261,Western Kentucky,32.3,72.8,39.6
262,Louisiana Monroe,32.2,71.3,34.0
263,Fordham,32.2,71.7,41.4
264,Southeastern Louisiana,32.2,74.4,32.3
265,North Dakota,32.2,69.9,39.6
266,Cleveland St.,32.2,71.6,33.4
267,Campbell,32.2,76.5,42.3
268,Fairfield,32.2,73.1,39.2
269,Harvard,32.2,77.6,40.1
270,California,32.2,74.7,37.8
271,Eastern Washington,32.2,77.5,38.3
272,Norfolk St.,32.1,75.1,28.7
273,Boise St.,32.1,77.6,41.3
274,Idaho St.,32.1,73.8,36.6
275,Colorado,32.1,75.0,37.9
276,Middle Tennessee,32.1,68.8,38.5
277,Northern Kentucky,32.0,66.2,39.9
278,Grand Canyon,32.0,73.4,34.5
279,N.C. State,32.0,71.8,35.2
280,Weber St.,32.0,69.5,37.3
281,Milwaukee,32.0,69.0,31.4
282,Prairie View A&M,32.0,69.9,33.3
283,South Alabama,31.9,70.8,46.6
284,Iona,31.9,68.2,34.7
285,Florida St.,31.9,71.8,34.0
287,Southern,31.8,64.4,33.1
288,UC Davis,31.8,74.2,35.3
289,Valparaiso,31.8,78.9,38.4
290,Texas Southern,31.8,73.0,35.8
291,South Florida,31.7,72.4,37.9
292,Arkansas St.,31.7,73.1,44.6
293,Eastern Illinois,31.7,69.3,29.7
