team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
Lafayette,PL,66.3,98.7,109.3,50.0,16.7,24.3,31.0,49.9,16.6,28.3,27.7,0.0,1.8,34.9,47.7,1.12,34.0,69.0,40.5,-7.53
Lamar,Slnd,65.7,103.6,104.9,48.0,18.9,35.3,28.7,48.3,17.7,32.8,34.8,0.9,0.6,31.1,47.2,1.2,37.0,70.4,32.8,-2.03
Le Moyne,NEC,68.8,101.3,121.7,51.5,19.6,25.5,37.7,54.4,16.3,32.9,37.1,-0.3,-1.4,37.7,29.1,1.01,33.0,71.6,41.6,-7.11
Lehigh,PL,67.5,101.3,111.2,51.0,15.6,20.8,31.3,50.6,16.2,29.6,33.4,-0.4,0.1,31.1,56.1,1.61,36.2,68.7,37.7,-5.65
Liberty,CUSA,65.7,109.2,98.2,56.9,15.6,19.0,31.9,45.8,17.6,27.3,24.8,-0.8,-1.2,21.3,52.6,1.9,38.2,64.5,47.5,0.18
Lindenwood,OVC,69.9,95.3,110.0,45.5,18.1,29.9,36.1,51.0,19.4,31.5,35.5,-1.0,0.1,29.8,12.4,0.96,27.2,67.9,35.1,-6.9
Lipscomb,ASun,66.3,113.1,103.6,55.7,14.3,24.1,30.1,49.2,16.2,26.0,22.1,0.5,0.5,24.3,41.9,2.66,36.5,78.4,46.7,-3.44
Little Rock,OVC,67.3,98.9,103.2,49.5,20.2,29.6,28.5,45.9,21.6,35.2,37.5,0.1,-0.4,16.9,10.8,1.13,36.5,70.0,30.3,-7.55
Long Beach St.,BW,64.3,102.8,115.1,49.4,21.4,28.1,35.5,53.3,17.4,35.8,35.9,1.4,1.1,27.5,3.8,1.63,35.8,74.9,36.3,1.3
Longwood,BSth,69.1,106.6,110.2,51.7,18.1,32.0,44.5,55.5,20.7,30.2,37.4,-1.6,-1.9,32.8,33.9,1.78,33.2,72.5,34.0,-3.64
Louisiana,SB,67.0,98.8,111.4,45.8,16.1,25.8,30.2,51.3,19.1,35.5,44.6,-1.4,-1.5,38.4,37.0,2.0,31.5,73.2,38.2,-1.08
Louisiana Monroe,SB,68.2,96.6,114.8,44.8,17.2,29.3,30.8,53.6,16.1,32.6,25.2,1.0,1.5,23.3,59.3,1.67,32.2,71.3,34.0,-2.55
Louisiana Tech,CUSA,64.7,111.0,106.7,53.3,19.1,29.0,34.3,48.5,14.8,28.3,30.2,-0.1,0.7,27.4,40.0,1.23,34.3,76.2,42.2,1.81
Louisville,ACC,69.1,118.9,96.4,53.6,16.2,32.2,34.9,50.0,19.2,26.4,26.4,0.9,1.6,22.6,0.1,3.17,33.1,74.5,49.3,10.3
Loyola Chicago,A10,67.4,107.7,104.7,53.0,17.8,29.4,32.7,49.7,18.1,27.7,33.6,0.0,0.1,32.7,45.5,2.48,34.8,66.5,41.6,0.33
Loyola MD,PL,67.0,100.5,113.4,49.9,17.9,28.9,28.6,52.5,17.0,28.1,29.5,-0.4,0.6,24.3,44.5,1.25,32.6,69.1,39.6,-7.7
Loyola Marymount,WCC,67.1,103.9,103.4,49.6,15.1,22.6,28.3,48.0,15.5,30.8,28.2,1.8,2.2,29.0,36.9,2.56,32.5,71.6,40.1,3.63
Maine,AE,66.2,102.1,106.8,52.2,16.1,22.6,27.5,50.4,21.4,32.5,30.3,-0.0,0.6,24.1,52.4,2.25,36.6,74.2,34.3,-6.59
Manhattan,MAAC,67.6,108.8,115.4,50.9,16.9,32.0,31.3,51.2,15.7,32.1,26.1,-1.3,-1.6,20.6,33.2,0.85,34.5,75.8,41.5,-7.83
Marist,MAAC,64.3,99.1,106.3,51.3,18.3,30.1,23.4,46.5,16.3,25.4,34.0,-0.9,-1.2,30.2,52.0,1.19,32.6,69.6,37.1,-10.15
Marquette,BE,67.6,118.3,95.7,52.3,13.5,30.9,25.9,49.9,22.6,30.4,30.3,0.8,0.7,27.1,65.8,2.05,32.9,72.9,46.5,11.25
Marshall,SB,69.0,106.8,107.3,50.5,16.8,32.3,34.6,49.5,17.3,29.4,40.6,-0.2,-0.8,25.4,38.2,2.3,32.3,68.6,40.0,-3.94
Maryland,B10,70.1,118.5,93.7,54.5,14.8,31.2,32.2,47.2,19.9,26.2,26.2,0.8,0.4,25.1,25.4,2.14,36.8,75.2,35.7,9.7
Maryland Eastern Shore,MEAC,66.5,94.0,118.5,44.9,19.8,26.1,35.7,55.5,15.4,34.6,39.7,-0.5,-0.9,37.8,0.0,0.62,29.8,66.1,36.7,-1.55
Massachusetts,A10,70.5,103.9,106.9,45.8,16.2,34.3,34.6,49.7,17.6,31.1,36.5,-0.1,0.0,32.8,50.4,1.31,28.4,66.9,31.7,1.41
McNeese,Slnd,65.3,114.1,101.3,52.9,16.7,36.0,35.1,48.4,22.1,31.2,32.7,-0.8,-0.7,34.5,41.6,2.76,34.7,69.7,36.7,-1.36
Memphis,Amer,70.6,114.8,98.3,54.2,18.9,33.8,38.5,48.7,19.3,33.2,32.7,-0.1,0.5,23.4,11.0,3.16,38.7,71.1,34.0,7.82
Mercer,SC,71.5,100.7,108.3,49.4,16.7,29.0,29.7,50.8,16.9,29.3,33.0,-0.7,-1.2,28.5,18.2,1.54,32.4,64.5,40.3,-1.87
Mercyhurst,NEC,65.0,99.2,116.9,48.6,16.4,22.2,30.9,55.0,20.3,33.3,38.3,-1.7,-2.2,29.2,0.0,0.75,35.7,80.7,36.4,-8.61
Merrimack,MAAC,65.0,100.5,103.5,49.3,14.1,21.4,25.0,47.3,22.8,38.7,30.0,-1.6,-2.4,21.0,41.7,1.28,32.6,71.8,42.6,-4.79
Miami FL,ACC,67.5,114.1,116.5,52.1,16.2,28.1,26.9,57.6,14.8,30.1,29.0,0.2,-0.0,36.5,21.1,2.46,31.4,77.3,39.1,8.41
Miami OH,MAC,69.4,108.1,108.4,55.2,17.7,27.8,28.9,52.2,19.7,28.8,35.0,0.3,1.0,33.1,38.8,1.28,37.2,72.9,43.3,-5.06
Michigan,B10,69.8,117.1,96.0,55.6,20.1,33.7,36.1,47.0,16.7,30.1,27.5,3.2,3.3,29.2,21.6,2.24,34.3,71.9,42.8,12.92
Michigan St.,B10,67.8,118.1,91.2,51.0,16.9,36.2,36.7,45.7,16.4,24.9,32.1,1.8,2.0,41.8,46.3,1.62,29.7,79.3,32.2,12.55
Middle Tennessee,CUSA,68.5,109.9,105.7,50.7,16.4,30.3,32.2,48.5,16.2,29.5,30.3,0.4,0.3,30.9,41.8,2.51,32.1,68.8,38.5,3.58
Milwaukee,Horz,68.9,108.5,106.2,51.3,19.4,40.6,38.5,51.3,18.3,26.7,32.9,0.1,-0.8,30.7,40.0,2.09,32.0,69.0,31.4,-2.62
Minnesota,B10,62.5,111.3,102.8,50.5,16.7,29.9,31.3,50.2,16.4,30.5,32.4,1.1,1.5,26.8,33.7,3.19,32.6,66.6,36.4,11.2
Mississippi,SEC,68.3,118.1,96.0,51.8,12.7,24.9,36.4,49.8,20.8,30.4,39.7,-0.7,-0.9,30.6,40.2,3.46,34.9,73.3,41.0,14.19
Mississippi St.,SEC,67.9,119.1,98.7,52.0,15.5,34.8,31.7,51.4,19.1,29.5,34.1,0.3,0.6,33.1,41.6,2.27,31.2,69.5,42.0,15.12
Mississippi Valley St.,SWAC,64.7,82.2,126.8,41.3,24.6,23.3,30.7,58.3,14.8,38.5,38.3,-0.8,-0.9,37.3,24.0,1.02,27.3,66.6,30.3,-1.73
Missouri,SEC,68.3,126.2,100.4,56.8,15.3,33.3,47.8,49.8,20.7,32.2,33.7,1.5,1.2,38.1,28.1,2.64,37.6,72.6,41.8,11.21
Missouri St.,MVC,64.0,102.1,107.8,51.4,20.7,32.1,34.8,54.4,19.1,28.6,38.9,-2.5,-2.1,27.0,0.1,1.2,36.3,65.2,37.2,0.88
Monmouth,CAA,67.6,104.2,113.5,47.1,16.6,30.1,37.2,50.9,16.6,34.8,36.2,0.8,1.0,27.9,41.7,1.69,35.3,74.4,34.4,-1.35
Montana,BSky,67.3,110.3,111.5,55.6,16.4,22.8,34.0,52.5,15.6,30.2,32.0,-1.7,-1.2,29.6,25.4,2.57,35.8,74.7,37.0,-0.57
Montana St.,BSky,66.2,106.7,108.8,52.7,15.1,21.2,32.3,49.3,15.4,29.1,32.7,-0.1,-0.4,39.8,44.8,2.12,34.7,72.3,43.1,-1.06
Morehead St.,OVC,64.0,98.5,112.8,46.1,18.4,31.3,38.3,50.8,14.7,25.1,34.3,-0.0,0.5,39.3,16.7,1.62,30.6,67.5,34.1,-6.14
Morgan St.,MEAC,70.3,103.8,119.3,49.2,17.6,33.8,35.5,53.4,16.6,37.5,39.6,-0.0,0.1,34.4,66.4,1.41,30.8,71.9,21.8,-7.41
Mount St. Mary's,MAAC,68.1,101.2,109.3,51.3,21.7,31.6,31.9,49.4,16.4,28.7,27.3,-0.2,-0.7,29.4,34.5,1.42,34.1,73.7,40.2,-6.71
Murray St.,MVC,65.1,106.6,105.2,49.4,17.0,28.8,41.7,51.5,17.4,26.5,34.7,-1.1,-2.0,22.4,40.7,2.86,33.3,72.4,39.6,1.88
N.C. State,ACC,65.2,108.4,105.3,48.4,14.4,29.0,31.8,51.1,18.6,33.0,32.4,-0.2,0.5,33.8,41.5,2.45,32.0,71.8,35.2,7.46
NJIT,AE,66.6,93.3,114.0,45.0,18.0,27.6,27.6,50.3,13.6,31.5,37.7,-1.1,-1.5,29.0,33.4,0.66,30.2,73.3,37.4,-5.57
Navy,PL,67.0,102.0,111.2,48.1,16.3,31.2,32.3,52.0,17.5,26.7,33.3,-1.8,-0.3,25.4,61.0,1.21,33.5,71.9,37.3,-7.87
Nebraska,B10,67.5,113.2,97.6,51.6,16.6,26.5,36.0,50.2,18.4,29.0,25.5,1.2,1.6,33.5,36.5,2.79,32.5,74.8,38.4,12.41
Nebraska Omaha,Sum,67.7,111.2,112.6,53.0,15.9,29.4,35.8,54.2,15.2,25.5,37.7,0.0,-0.9,31.2,45.9,1.78,36.7,73.5,38.9,-1.91
Nevada,MWC,63.8,113.8,103.2,54.7,15.7,28.0,37.4,51.1,19.4,27.0,37.5,1.5,0.6,34.7,45.5,2.97,36.0,69.8,37.0,5.16
New Hampshire,AE,67.5,94.7,115.9,47.7,19.1,27.9,26.6,54.4,16.7,31.1,33.4,-0.1,0.2,34.9,9.0,0.51,32.4,65.6,40.7,-5.76
New Mexico,MWC,73.3,113.7,96.6,51.2,16.0,31.7,38.0,49.4,20.5,25.7,35.6,1.4,0.6,28.7,48.7,2.45,34.3,69.0,32.5,6.38
New Mexico St.,CUSA,65.4,103.4,100.8,46.1,16.1,31.9,33.5,46.4,15.3,27.7,39.0,0.0,0.3,32.9,30.5,1.74,30.5,68.4,37.5,2.42
New Orleans,Slnd,69.4,99.7,117.5,46.1,18.8,31.6,33.5,54.4,16.2,35.9,26.8,-1.0,-1.0,40.8,19.4,0.62,30.7,66.7,30.7,1.06
Niagara,MAAC,65.1,100.9,115.8,51.7,18.8,23.7,29.5,53.7,17.2,27.4,30.6,-0.9,-0.1,39.1,0.0,1.26,33.9,73.9,43.3,-7.46
Nicholls,Slnd,68.5,108.2,108.2,48.9,14.6,30.5,32.8,48.5,16.4,31.3,36.5,-0.8,-1.4,36.6,56.9,1.97,35.5,68.8,37.0,-1.61
Norfolk St.,MEAC,66.7,109.2,110.0,52.5,18.4,33.0,38.9,50.0,18.7,33.8,35.6,0.7,1.1,35.4,44.2,2.13,32.1,75.1,28.7,-5.87
North Alabama,ASun,66.7,112.3,108.1,51.7,12.7,33.5,29.6,50.9,16.7,29.4,26.5,-0.7,-0.8,20.5,30.7,1.86,34.1,71.0,35.2,-5.2
North Carolina,ACC,70.9,119.2,102.0,54.3,15.1,29.8,35.6,50.1,15.0,27.4,30.0,-0.2,-0.1,29.5,47.5,2.24,34.6,73.5,36.2,11.61
North Carolina A&T,CAA,69.3,98.1,113.6,46.1,15.3,27.0,30.8,51.4,15.5,31.5,30.1,-1.0,0.5,26.2,49.2,1.0,30.2,68.3,35.8,-2.3
North Carolina Central,MEAC,67.0,102.1,116.3,49.6,18.9,34.8,38.6,54.0,21.7,39.1,43.7,-1.3,-0.9,32.8,44.8,1.46,33.9,69.0,33.2,-6.82
North Dakota,Sum,69.1,108.3,117.4,49.3,16.1,33.8,33.8,57.3,15.3,28.6,32.9,-0.3,-0.8,29.9,42.2,1.05,32.2,69.9,39.6,-0.57
North Dakota St.,Sum,65.1,116.2,113.1,58.3,15.4,26.0,32.4,51.5,11.2,28.9,26.5,0.0,0.6,27.1,41.3,1.49,39.6,79.2,54.1,-2.49
North Florida,ASun,72.4,110.2,118.0,53.2,15.0,28.0,24.8,54.1,14.7,34.2,31.1,-1.4,-1.9,32.1,46.7,1.53,35.0,67.9,54.0,-1.47
North Texas,Amer,60.7,110.4,97.2,52.0,17.3,33.3,35.9,46.7,19.8,26.7,38.7,0.5,-0.4,32.4,17.4,2.87,35.9,76.8,37.6,2.47
Northeastern,CAA,67.6,104.3,107.7,51.1,18.4,31.0,27.7,50.3,18.1,31.1,30.1,-1.0,-1.0,25.9,42.2,1.58,33.7,69.6,35.1,-3.51
Northern Arizona,BSky,67.0,104.7,112.1,49.9,15.2,32.3,29.8,53.6,14.8,23.6,33.7,-0.5,-0.9,28.7,50.3,2.22,33.9,66.5,38.4,-5.03
Northern Colorado,BSky,69.3,112.9,110.0,57.5,15.4,24.6,33.5,53.1,15.4,22.9,34.2,-0.5,-0.4,26.1,48.3,2.11,36.5,72.1,37.9,-3.29
Northern Illinois,MAC,69.3,95.3,113.8,47.3,16.1,17.3,31.4,53.4,16.4,30.9,42.3,-1.5,-1.2,31.6,11.8,1.14,32.7,70.8,48.5,-2.92
Northern Iowa,MVC,65.4,110.5,104.3,55.5,15.9,25.6,35.0,51.6,17.6,25.4,28.8,0.4,0.4,30.2,47.1,1.76,36.9,69.7,36.3,0.27
Northern Kentucky,Horz,66.0,102.3,108.6,49.6,17.3,30.2,31.3,52.8,19.8,32.2,28.4,-0.3,-0.7,26.1,51.8,1.91,32.0,66.2,39.9,-1.94
Northwestern,B10,64.9,115.0,98.4,50.1,14.5,31.9,30.8,50.1,19.8,29.2,36.0,1.0,2.1,30.8,51.8,2.28,34.0,73.0,34.0,11.56
Northwestern St.,Slnd,64.3,102.0,108.4,48.3,20.2,33.1,32.6,49.5,17.0,32.6,31.7,-0.4,-0.5,37.8,7.9,0.8,33.7,69.2,35.2,0.01
Notre Dame,ACC,65.2,114.1,106.5,52.5,16.7,30.5,31.4,52.0,15.2,26.4,30.4,1.1,0.7,30.8,68.2,2.04,35.8,74.7,37.9,7.83
Oakland,Horz,63.9,107.1,109.8,49.4,18.3,34.5,31.8,51.6,16.1,32.7,28.1,-1.7,-2.4,31.9,25.9,1.27,29.8,69.0,42.7,0.52
Ohio,MAC,70.5,107.3,108.4,53.5,15.1,23.9,33.2,52.0,18.2,29.0,36.0,-1.0,-0.9,34.6,53.3,1.82,34.9,76.1,40.9,-2.78
Ohio St.,B10,67.5,118.1,98.6,53.7,15.8,28.9,35.0,47.8,17.0,30.2,40.1,-0.4,0.3,30.0,31.0,2.16,37.5,75.2,37.0,14.69
Oklahoma,SEC,68.7,118.4,101.8,54.8,18.0,27.2,39.2,50.8,18.4,31.4,35.8,0.2,0.8,34.5,24.8,2.31,36.6,79.1,42.2,13.76
Oklahoma St.,B12,71.4,108.7,102.2,48.2,19.0,31.4,43.2,54.0,20.5,28.5,37.0,-0.1,-0.3,42.7,17.8,2.85,31.6,72.4,35.9,12.0
Old Dominion,SB,66.5,100.9,113.2,44.2,16.8,35.9,31.7,52.5,16.2,32.0,35.3,-0.0,0.4,26.1,18.8,1.4,28.1,70.9,35.6,-3.53
Oral Roberts,Sum,67.7,103.7,117.8,50.1,16.2,22.6,35.0,55.0,13.8,32.9,39.1,-1.2,-1.2,29.7,33.0,1.68,34.7,75.8,45.8,0.82
Oregon,B10,68.1,117.8,98.2,52.4,15.9,30.8,33.0,49.6,18.1,29.4,27.6,1.7,1.7,29.4,40.4,2.69,34.7,76.3,38.6,14.2
Oregon St.,WCC,64.1,117.2,106.9,54.7,16.7,32.1,38.7,50.8,16.8,27.9,31.8,0.8,0.4,25.6,21.6,1.45,36.7,79.1,35.7,1.76
Pacific,WCC,66.6,102.0,112.0,48.0,19.1,28.7,32.0,53.4,15.1,27.9,36.5,0.1,0.7,22.0,3.6,1.34,29.4,73.2,38.1,3.55
Penn,Ivy,67.0,104.5,114.7,49.2,16.4,27.4,29.1,52.2,13.5,30.2,26.1,-0.2,-0.1,32.8,46.9,1.51,32.5,69.3,44.8,-1.12
Penn St.,B10,70.0,114.7,102.2,53.7,17.4,29.0,38.1,52.2,20.1,29.2,29.6,0.9,1.0,29.6,57.3,2.49,33.5,75.8,36.2,9.24
Pepperdine,WCC,69.6,105.5,111.8,49.0,16.5,27.9,32.1,52.6,15.2,29.5,26.7,1.4,0.6,26.5,3.7,1.19,33.9,71.1,33.5,2.47
Pittsburgh,ACC,66.3,117.2,103.1,52.5,14.6,28.7,34.3,51.4,18.1,29.8,32.6,1.9,1.9,23.9,49.9,2.72,34.9,78.2,41.4,9.96
Portland,WCC,68.7,106.5,114.8,49.9,18.1,24.0,32.8,54.6,13.2,29.5,22.1,2.1,1.9,30.9,35.5,1.9,33.3,78.3,43.3,2.34
Portland St.,BSky,68.5,102.4,104.6,50.9,18.3,33.8,34.9,50.1,19.6,30.4,34.7,-0.2,-0.1,27.6,23.9,0.98,33.1,63.8,30.4,-3.22
Prairie View A&M,SWAC,70.6,95.8,117.5,48.1,16.9,24.3,34.4,56.0,19.9,38.9,42.4,-1.7,-1.8,35.4,6.1,1.15,32.0,69.9,33.3,-4.19
Presbyterian,BSth,64.4,105.2,110.7,51.3,16.7,29.8,31.8,52.8,17.8,31.3,39.0,-0.4,-1.1,31.1,43.9,1.71,35.9,69.1,34.4,-2.24
Princeton,Ivy,66.8,105.6,108.0,50.7,15.3,26.7,25.6,53.6,17.5,24.5,31.8,-0.6,-1.1,29.9,62.2,1.61,34.8,70.5,47.9,-0.31
Providence,BE,66.6,113.0,105.3,52.2,18.8,32.4,30.9,48.8,13.8,29.0,33.7,-0.1,0.8,33.4,34.1,1.93,35.8,68.9,46.0,10.32
Purdue,B10,65.4,124.1,99.5,56.6,16.0,30.3,35.8,51.7,18.5,29.6,30.4,0.5,0.4,29.7,54.2,1.73,38.3,72.7,37.9,15.92
Purdue Fort Wayne,Horz,69.8,110.5,110.6,55.1,13.7,22.2,29.0,53.7,20.1,32.7,29.2,-0.5,-1.2,30.1,74.0,1.91,37.4,75.5,45.7,-3.49
Queens,ASun,69.0,106.3,110.4,52.7,18.4,31.0,33.7,51.7,15.7,28.6,31.7,0.4,0.9,34.4,44.3,1.74,34.5,69.0,45.0,-3.83
Quinnipiac,MAAC,72.1,101.7,104.9,48.3,18.4,33.8,30.5,49.3,17.4,25.6,28.8,-0.5,-1.0,31.8,60.3,1.8,29.6,75.9,37.7,-5.65
Radford,BSth,63.2,110.4,109.9,51.0,18.0,34.1,41.5,50.8,16.8,29.8,37.7,0.3,0.1,37.8,12.0,1.0,36.0,75.5,36.4,-1.81
Rhode Island,A10,70.6,109.2,107.2,53.0,18.0,28.0,41.8,49.2,16.0,28.4,28.9,0.6,1.1,32.3,38.2,2.27,34.4,69.4,37.7,-0.11
Rice,Amer,65.6,108.2,109.8,49.1,18.0,34.0,43.6,48.2,14.0,29.4,34.8,1.0,1.1,37.5,18.7,1.85,34.2,68.4,39.4,-1.63
Richmond,A10,64.0,103.5,109.7,48.3,15.3,19.3,30.1,52.7,15.7,27.9,36.7,1.1,1.1,38.1,28.4,2.19,30.9,80.4,45.4,3.16
Rider,MAAC,65.3,101.1,115.1,47.0,17.9,31.9,30.8,53.3,16.0,31.0,26.9,-1.0,-0.7,31.3,33.8,1.7,31.4,71.7,30.2,-5.01
Robert Morris,Horz,68.3,106.2,105.3,51.0,18.8,34.9,38.2,50.1,18.9,28.6,30.3,-0.5,-0.7,27.5,11.9,1.43,34.2,72.2,36.4,-5.95
Rutgers,B10,68.9,116.2,104.7,50.9,15.6,30.8,36.6,52.3,17.1,31.7,30.2,1.3,0.6,38.8,15.3,1.56,33.8,72.2,36.3,13.38
SIUE,OVC,66.5,102.0,107.5,48.9,17.1,31.3,32.8,48.1,17.6,29.4,33.4,0.6,0.5,24.9,36.3,1.53,34.0,67.8,36.8,-8.77
SMU,ACC,69.1,118.7,102.1,55.1,17.3,37.9,36.4,47.7,17.4,30.7,31.8,2.2,3.2,34.5,28.5,2.76,38.4,72.9,35.8,6.15
Sacramento St.,BSky,65.7,95.7,113.5,48.2,20.5,27.4,31.5,54.9,17.0,27.6,39.5,0.2,0.9,33.7,30.8,0.79,31.5,67.5,44.9,-2.89
Sacred Heart,MAAC,70.5,105.8,113.4,51.4,17.5,31.1,27.1,51.9,17.4,29.3,28.5,-1.2,-1.4,34.1,10.5,1.24,35.0,73.4,43.8,-7.13
Saint Francis,NEC,67.1,101.3,115.3,52.0,19.6,25.9,24.0,52.5,15.9,29.5,28.7,-1.6,-1.6,30.8,28.4,0.64,33.8,72.6,41.6,-6.16
Saint Joseph's,A10,68.2,111.7,100.8,53.0,16.7,29.4,30.4,46.3,15.9,27.4,26.1,0.6,0.1,22.9,53.9,2.23,34.2,75.0,45.9,1.08
Saint Louis,A10,67.5,109.5,103.9,55.8,18.7,24.1,30.7,47.9,14.3,27.7,25.1,0.2,0.2,13.9,24.3,2.95,34.7,69.5,50.3,3.76
Saint Mary's,WCC,62.1,117.2,93.6,51.2,14.8,40.1,31.2,46.4,17.1,25.1,25.5,1.2,1.5,19.2,46.8,1.68,33.9,69.9,33.8,5.52
Saint Peter's,MAAC,63.6,96.4,106.8,45.0,21.2,37.9,35.1,47.4,17.7,31.6,37.9,0.1,0.1,29.4,40.8,1.18,32.6,72.7,38.6,-5.67
Sam Houston St.,CUSA,67.7,110.4,110.9,50.5,18.6,30.7,35.4,53.3,17.4,32.0,33.5,0.4,0.7,33.5,34.6,1.34,38.6,73.0,38.2,5.43
Samford,SC,71.1,113.3,107.9,54.7,18.3,34.6,29.5,52.5,21.8,33.5,41.3,-0.4,0.3,37.4,30.0,1.91,37.0,71.9,47.0,-2.48
San Diego,WCC,71.1,99.8,110.3,45.5,18.1,29.6,29.7,53.3,18.2,31.6,46.2,1.8,1.1,41.6,24.7,0.54,29.0,74.9,36.0,2.12
San Diego St.,MWC,66.1,110.6,93.8,50.5,17.0,30.6,32.0,44.7,19.8,31.5,36.8,1.9,1.8,33.1,12.1,1.52,32.9,67.6,38.5,8.7
San Francisco,WCC,67.6,112.4,99.9,53.2,16.8,28.6,35.7,48.5,18.6,28.6,35.4,0.7,1.3,33.7,44.7,1.8,33.9,71.3,44.1,3.49
San Jose St.,MWC,66.4,108.8,109.4,50.5,16.5,26.9,32.2,52.4,16.6,32.6,29.2,-0.7,0.3,31.0,6.7,1.86,35.5,72.7,40.5,5.08
Santa Clara,WCC,69.2,116.9,101.8,55.7,16.9,32.6,29.0,49.2,17.0,27.0,32.4,1.4,1.6,35.1,68.9,2.13,37.8,72.7,46.5,5.28
Seattle,WAC,66.0,106.2,104.8,47.3,17.1,29.7,41.5,52.7,20.4,26.7,36.9,-0.1,-0.8,35.6,38.9,2.04,32.4,72.7,37.5,1.14
Seton Hall,BE,64.5,100.1,102.6,45.0,19.1,31.4,34.2,53.9,21.9,31.2,39.1,0.1,-0.0,41.3,19.9,1.74,31.4,66.7,30.5,9.71
Siena,MAAC,67.2,104.2,110.6,49.9,17.5,28.6,37.4,51.7,18.6,30.3,32.1,0.7,1.4,26.7,6.3,0.43,33.6,74.3,40.5,-5.88
South Alabama,SB,63.2,107.7,103.5,51.0,14.5,27.8,33.2,48.4,20.7,32.2,23.8,-1.8,-2.4,34.4,15.0,0.69,31.9,70.8,46.6,-3.88
South Carolina,SEC,65.7,110.5,98.8,49.3,19.0,30.8,44.0,51.2,15.7,27.3,30.0,0.6,0.5,32.4,44.5,1.9,31.6,71.0,37.9,14.1
South Carolina St.,MEAC,68.9,104.2,106.9,50.9,19.9,35.3,44.6,50.8,22.6,32.2,48.7,-0.0,0.5,43.9,65.0,1.32,33.8,68.8,33.2,-6.32
South Dakota,Sum,74.6,110.5,116.1,50.5,12.7,30.2,45.6,54.4,17.4,36.1,34.9,-0.5,0.6,38.3,48.9,1.84,31.7,71.6,37.4,-3.27
South Dakota St.,Sum,69.2,111.0,107.2,54.4,18.0,33.7,30.5,50.7,12.7,21.5,29.5,0.7,1.5,30.9,20.1,0.77,35.9,75.5,39.8,-1.22
South Florida,Amer,68.5,104.1,106.8,50.1,16.4,27.9,34.8,49.4,18.3,33.5,36.8,-0.4,0.4,35.5,36.5,2.07,31.7,72.4,37.9,0.18
Southeast Missouri,OVC,68.9,103.4,106.4,51.9,15.3,24.3,28.2,47.9,18.8,28.4,42.4,-0.7,-0.1,31.8,45.4,0.91,35.1,71.6,35.8,-7.21
Southeastern Louisiana,Slnd,67.4,105.1,107.6,49.6,17.6,30.5,34.8,51.3,18.8,29.0,37.9,-0.0,1.0,28.4,21.7,2.15,32.2,74.4,32.3,-3.53
Southern,SWAC,69.2,100.6,105.4,47.7,18.8,34.3,38.1,49.2,21.2,29.4,42.5,-1.3,-0.7,46.9,21.1,0.68,31.8,64.4,33.1,-5.99
Southern Illinois,MVC,68.2,105.8,108.1,51.3,18.2,30.3,35.1,52.4,15.5,27.9,33.3,-0.6,-0.7,28.4,15.4,1.44,35.0,68.0,33.6,1.57
Southern Indiana,OVC,67.2,98.9,115.4,47.9,17.2,27.9,30.7,51.8,16.7,31.3,35.6,-0.8,-0.9,29.8,30.7,1.08,35.2,73.9,33.5,-7.35
Southern Miss,SB,71.4,98.3,109.0,48.3,19.8,27.5,34.5,50.3,15.9,29.5,35.4,-1.5,-2.4,29.4,20.8,1.9,30.1,69.0,36.9,-1.24
Southern Utah,WAC,69.1,100.7,110.6,47.4,21.6,31.0,36.0,50.5,15.1,31.8,33.2,0.1,-0.1,40.3,29.5,1.11,31.1,73.5,32.4,-0.6
St. Bonaventure,A10,64.1,108.1,101.9,51.1,16.2,27.9,31.4,50.0,18.6,26.2,25.1,0.8,1.3,18.3,7.0,1.3,32.9,73.1,34.5,1.66
St. John's,BE,70.1,113.9,89.2,49.5,15.8,37.8,31.3,46.5,22.0,29.0,30.5,0.3,0.5,26.7,19.8,2.36,30.2,68.7,30.8,8.36
St. Thomas,Sum,67.9,114.8,111.4,58.0,13.8,21.5,33.3,52.4,18.0,31.3,35.6,-1.0,-1.0,31.3,47.7,1.33,38.3,78.4,46.5,-2.68
Stanford,ACC,66.8,113.0,103.6,50.8,15.8,31.6,30.7,50.5,17.5,27.4,36.6,2.4,3.3,25.9,24.1,1.39,33.8,78.9,41.2,4.8
Stephen F. Austin,Slnd,67.4,95.3,104.3,47.0,22.6,35.1,32.9,48.7,20.6,33.3,34.2,-0.1,0.0,32.6,45.9,1.7,28.8,62.7,36.4,-2.8
Stetson,ASun,67.8,99.9,119.3,50.2,18.7,24.1,33.1,53.1,13.1,34.3,27.7,0.9,1.3,34.6,18.2,0.85,33.5,73.9,37.7,-3.28
Stonehill,NEC,65.3,102.0,115.5,51.3,18.1,26.2,32.0,50.6,16.2,29.7,33.0,-0.7,-1.4,30.2,33.1,1.16,35.7,72.5,44.9,-9.26
Stony Brook,CAA,64.8,102.1,117.8,47.4,18.4,29.3,31.3,55.8,15.1,31.4,28.3,-0.7,-0.3,27.7,24.1,1.94,33.5,74.8,39.4,-2.39
