team,conference,tempo_adj,off_eff_adj,def_eff_adj,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,EffHgt,C-Hgt,Bench,Continuity,Experience,3P%,FT%,3PA%,SOS
Buffalo,MAC,71.3,96.4,113.9,49.0,19.6,24.5,33.1,53.8,16.5,31.3,31.9,0.5,0.3,31.1,31.0,0.71,30.6,69.1,44.1,-3.32
Butler,BE,67.9,116.7,105.2,53.2,16.9,27.5,39.4,48.8,11.2,27.9,21.8,1.7,2.2,26.1,57.3,2.89,36.7,74.2,40.4,10.84
CSUN,BW,72.3,110.1,103.8,52.1,19.0,35.6,35.3,49.8,20.9,23.4,45.6,-0.8,-1.1,29.0,28.7,1.82,34.4,73.7,31.1,-2.17
Cal Baptist,WAC,66.3,106.9,107.1,48.4,17.5,33.4,29.9,50.7,18.0,29.2,33.8,-0.1,0.1,36.1,25.8,2.14,30.8,75.9,34.4,-0.47
Cal Poly,BW,74.8,108.1,111.5,54.1,21.6,27.8,28.0,53.1,18.7,34.2,32.2,-2.3,-2.6,30.3,19.6,0.87,34.3,77.1,50.8,3.02
Cal St. Bakersfield,BW,66.2,107.0,113.4,48.3,19.1,35.4,35.5,54.7,19.0,29.8,47.6,-1.6,-2.2,32.9,38.9,1.4,37.6,77.1,28.3,0.27
Cal St. Fullerton,BW,68.3,95.6,113.7,44.2,21.2,26.3,40.0,54.2,16.4,30.3,34.8,0.1,0.2,43.2,28.6,0.96,26.8,74.0,33.5,2.86
California,ACC,67.9,111.4,107.2,48.2,16.9,34.9,38.4,52.6,16.2,29.6,31.5,0.1,-0.0,33.3,0.4,2.31,32.2,74.7,37.8,6.37
Campbell,CAA,66.3,102.8,106.3,50.2,15.8,24.4,30.1,52.3,19.0,27.3,30.6,-0.6,-1.0,28.9,29.9,1.63,32.2,76.5,42.3,-3.52
Canisius,MAAC,66.1,100.8,122.9,51.8,18.4,18.2,23.8,57.3,16.5,34.8,31.3,-0.9,-1.4,22.4,12.6,1.21,37.2,75.3,41.0,-4.17
Central Arkansas,ASun,66.5,98.1,116.4,47.4,18.3,29.0,29.1,56.7,16.8,30.2,22.8,0.4,0.1,36.0,16.5,0.68,29.8,71.4,47.6,-1.98
Central Connecticut,NEC,66.1,101.9,102.6,52.3,16.7,26.7,26.4,48.1,18.1,25.1,18.2,-0.7,-1.3,31.2,50.7,1.63,32.3,73.6,34.1,-10.14
Central Michigan,MAC,67.6,106.8,109.2,49.8,17.6,32.3,34.6,53.3,17.9,29.2,31.3,-0.3,0.2,19.7,27.9,1.55,31.2,73.7,34.0,-0.96
Charleston,CAA,70.7,107.0,106.2,52.5,16.1,26.2,33.8,50.3,16.7,28.2,27.0,0.9,1.1,28.1,24.5,2.11,35.3,71.1,39.8,-2.17
Charleston Southern,BSth,67.6,100.7,111.9,48.8,19.8,31.2,44.6,53.2,13.6,28.3,33.7,0.1,0.3,20.4,33.1,2.25,30.9,66.4,41.9,0.59
Charlotte,Amer,65.1,104.9,113.2,48.4,14.7,24.6,42.4,54.2,14.7,29.4,35.5,-0.3,-0.8,31.4,34.5,1.78,30.7,75.5,40.3,0.09
Chattanooga,SC,66.9,116.2,111.2,56.7,15.3,25.7,32.1,51.2,15.8,29.8,34.2,-0.0,0.0,31.1,32.3,1.71,36.6,76.4,45.7,-2.17
Chicago St.,NEC,68.7,92.1,116.4,44.4,18.7,22.7,26.8,55.1,18.2,33.0,38.0,-1.7,-1.6,32.2,18.1,0.79,30.4,70.2,41.2,-2.65
Cincinnati,B12,65.5,112.6,96.5,51.8,15.1,32.6,24.0,48.1,19.2,29.7,24.2,1.4,1.9,35.1,59.6,2.21,33.2,66.7,38.0,11.64
Clemson,ACC,64.1,121.0,96.4,54.5,15.4,33.4,28.0,49.2,19.9,30.4,27.4,1.5,1.6,26.6,46.3,3.02,38.4,77.0,39.2,8.62
Cleveland St.,Horz,66.0,104.7,105.0,49.4,18.1,34.4,30.8,51.2,22.3,33.4,38.7,-0.4,-0.5,27.6,33.7,1.81,32.2,71.6,33.4,-3.83
Coastal Carolina,SB,63.6,101.0,115.9,49.7,18.4,28.8,33.8,48.9,10.6,28.6,37.1,1.5,3.1,30.5,6.4,0.73,35.3,69.4,38.9,-4.2
Colgate,PL,67.4,105.5,114.0,54.0,16.8,23.7,23.1,53.8,16.4,27.3,26.1,-0.1,0.9,36.0,50.3,1.27,35.5,73.2,42.3,-4.77
Colorado,B12,67.5,107.6,100.3,50.6,21.4,28.8,35.8,49.7,16.3,27.6,34.2,1.4,1.0,42.5,16.5,1.32,32.1,75.0,37.9,12.65
Colorado St.,MWC,66.2,115.4,101.0,54.9,17.6,27.1,30.3,49.0,16.7,24.6,33.6,-0.7,-1.1,30.8,34.1,2.41,35.3,78.3,43.1,5.45
Columbia,Ivy,70.7,107.2,116.3,52.7,15.4,26.3,29.2,56.0,16.7,27.3,25.5,0.0,0.1,33.8,66.3,2.09,34.2,73.0,39.1,-5.0
Connecticut,BE,64.3,122.4,104.1,55.7,17.1,35.0,31.7,48.6,15.9,27.9,40.4,0.7,0.6,30.4,44.4,1.75,35.4,78.2,43.2,10.35
Coppin St.,MEAC,68.4,87.5,112.1,43.4,21.9,26.5,36.9,56.4,20.1,32.8,37.7,-0.6,-1.4,33.2,19.0,0.82,28.4,67.9,32.5,-2.33
Cornell,Ivy,71.0,114.4,111.9,58.0,17.2,26.6,28.7,52.3,15.8,29.8,31.4,-0.7,-0.8,30.9,58.6,1.42,37.3,75.5,48.4,-2.01
Creighton,BE,68.0,116.1,98.0,55.4,18.2,26.2,29.0,46.4,11.7,26.7,17.7,2.9,3.1,28.8,46.7,2.65,33.5,73.8,49.5,12.0
Dartmouth,Ivy,71.3,101.9,103.9,50.7,15.9,23.0,30.4,48.8,13.9,25.3,23.0,-1.0,-1.4,26.8,50.8,1.58,34.6,75.1,46.8,-3.38
Davidson,A10,65.5,111.4,109.1,52.4,14.4,25.4,30.1,51.7,15.2,27.8,28.1,0.5,0.7,24.0,54.5,1.9,34.2,74.3,41.8,0.6
Dayton,A10,66.2,116.2,105.8,53.0,15.7,29.6,40.0,51.0,18.4,28.8,30.4,0.8,1.5,29.3,48.1,2.94,35.4,75.3,40.5,4.57
DePaul,BE,67.3,108.8,106.2,51.7,18.1,28.0,27.6,51.6,15.7,28.4,29.0,0.0,-0.1,39.4,0.0,2.17,33.8,70.6,47.1,8.44
Delaware,CAA,70.8,108.5,117.2,54.3,17.1,22.2,29.8,53.1,15.8,32.6,32.3,-1.1,-1.4,23.7,28.4,1.1,36.5,77.7,40.2,-2.25
Delaware St.,MEAC,70.8,101.6,113.6,48.6,18.0,32.8,35.1,53.6,19.8,32.0,39.2,1.3,0.8,22.8,37.8,1.67,35.1,72.5,20.5,-7.08
Denver,Sum,66.8,99.2,111.5,50.3,18.4,26.4,31.1,54.1,17.6,29.3,49.1,-0.4,0.1,37.2,40.0,0.92,33.4,74.4,37.1,-1.47
Detroit Mercy,Horz,67.0,95.3,112.1,45.4,18.9,31.9,28.5,50.8,15.6,30.3,39.7,0.1,-0.2,35.7,9.7,0.99,33.2,73.5,28.4,-1.91
Drake,MVC,59.4,113.5,100.4,54.4,19.0,36.2,42.5,52.2,21.9,25.5,36.9,-1.4,-1.7,24.0,4.7,0.33,35.6,71.2,36.6,0.29
Drexel,CAA,63.2,102.0,104.9,51.6,19.0,32.6,23.8,47.3,14.6,29.4,28.1,-0.7,-1.4,23.3,18.7,0.71,34.0,69.3,36.9,-4.39
Duke,ACC,66.1,128.9,89.8,57.7,14.1,35.4,32.3,44.2,18.0,26.1,25.6,2.1,2.6,31.4,21.4,1.93,38.6,78.2,45.2,9.18
Duquesne,A10,65.3,106.4,103.8,49.8,17.9,33.0,30.6,49.6,20.1,30.7,41.2,-0.1,-0.8,38.5,35.6,2.21,34.3,64.3,43.5,1.49
East Carolina,Amer,66.9,108.7,108.6,48.9,15.8,34.8,36.9,51.8,17.8,30.7,32.2,-1.3,-1.6,20.4,28.4,2.66,31.2,72.1,35.1,-1.31
East Tennessee St.,SC,65.4,107.9,105.2,50.3,16.3,36.2,32.9,50.2,18.9,29.5,33.5,-0.5,-0.0,30.4,61.8,1.99,34.8,66.8,41.7,-3.03
East Texas A&M,Slnd,67.5,97.0,112.5,49.2,22.6,28.0,27.9,54.1,20.0,36.5,36.6,-0.9,-1.4,42.2,18.0,0.71,31.4,64.7,48.3,-0.3
Eastern Illinois,OVC,66.3,94.1,107.5,44.1,18.7,30.0,33.0,51.0,20.8,30.9,39.7,-1.0,-1.3,29.1,34.4,1.05,31.7,69.3,29.7,-5.34
Eastern Kentucky,ASun,68.1,110.0,111.1,49.9,13.9,32.4,25.8,52.4,17.9,32.7,31.3,-0.5,-0.8,32.2,23.5,1.45,34.9,77.3,42.6,-2.51
Eastern Michigan,MAC,67.3,103.9,114.7,52.2,18.8,30.0,33.6,53.7,17.8,31.4,37.5,0.2,-0.6,22.5,28.2,1.8,34.5,73.3,38.4,-4.87
Eastern Washington,BSky,67.4,102.8,113.1,50.9,18.7,27.3,31.9,54.3,19.0,33.7,39.5,-0.7,-0.8,34.2,9.5,0.31,32.2,77.5,38.3,-0.7
Elon,CAA,65.3,107.3,109.2,50.0,19.2,36.3,38.7,47.6,13.3,30.8,24.2,3.3,4.6,31.7,43.3,1.18,32.7,75.7,41.8,-2.86
Evansville,MVC,67.1,99.0,106.1,49.1,17.7,22.6,30.7,49.9,16.6,29.1,35.0,1.4,0.8,24.9,29.5,1.25,30.1,70.4,41.0,1.37
FIU,CUSA,69.1,97.8,105.2,46.9,19.9,31.4,35.6,52.0,21.1,29.6,38.9,0.0,0.7,35.5,37.0,1.23,29.1,71.1,29.0,0.3
Fairfield,MAAC,65.7,99.7,116.4,46.3,15.6,29.7,25.8,54.4,17.9,31.3,31.3,0.1,0.4,35.3,24.4,1.73,32.2,73.1,39.2,-5.93
Fairleigh Dickinson,NEC,69.6,98.5,112.0,49.0,17.1,25.8,32.6,50.5,17.3,32.4,31.1,-1.6,-2.0,24.5,38.6,0.99,32.4,71.3,41.6,-7.36
Florida,SEC,69.5,126.9,93.0,54.4,15.1,38.0,31.3,44.8,18.0,28.7,31.5,1.4,1.2,28.9,53.0,2.41,35.4,71.2,43.5,12.18
Florida A&M,SWAC,67.5,100.6,114.1,50.1,21.7,28.6,36.0,51.0,15.8,33.1,39.1,0.8,0.9,36.2,27.1,0.73,34.3,72.3,46.5,-4.37
Florida Atlantic,Amer,69.4,113.2,108.8,53.4,16.5,30.1,32.6,50.4,16.8,31.6,32.3,1.3,2.0,33.1,2.8,2.04,35.4,70.8,40.6,3.55
Florida Gulf Coast,ASun,65.5,109.2,109.2,54.1,16.1,29.9,23.2,50.5,14.4,26.5,28.7,-0.9,-1.1,27.9,36.0,2.17,35.8,69.5,38.4,-2.92
Florida St.,ACC,70.1,110.0,101.7,51.2,17.5,29.6,39.9,48.6,19.1,31.9,38.2,2.1,1.9,36.5,26.1,1.33,31.9,71.8,34.0,6.69
Fordham,A10,70.0,106.5,111.6,48.8,18.7,31.7,32.8,52.7,16.8,29.9,38.4,-0.5,-0.6,32.6,49.7,1.88,32.2,71.7,41.4,1.99
Fresno St.,MWC,71.0,101.1,108.2,46.3,17.9,26.3,35.4,54.2,18.3,33.5,23.2,1.2,1.3,30.2,11.5,0.44,31.5,69.5,35.4,6.84
Furman,SC,66.1,108.3,107.0,52.5,16.8,30.1,34.7,48.4,16.5,31.0,28.5,1.3,1.5,30.3,44.6,1.23,34.8,69.0,50.9,-1.78
Gardner Webb,BSth,69.2,104.1,112.3,52.2,20.7,33.3,36.4,52.3,14.6,29.8,37.2,-0.8,-0.7,31.1,28.8,1.76,33.1,68.5,33.4,-1.53
George Mason,A10,64.7,105.4,95.9,51.2,20.0,31.9,43.2,44.9,18.4,28.3,31.0,0.5,0.5,34.5,36.8,2.82,34.4,70.4,35.5,1.21
George Washington,A10,67.3,106.8,102.7,50.0,18.3,31.7,40.4,47.9,19.6,32.4,26.9,0.7,1.1,32.7,33.7,1.66,30.7,70.1,41.8,-1.97
Georgetown,BE,68.5,108.4,99.0,50.5,17.8,32.4,25.8,48.5,20.2,29.8,28.9,1.5,1.2,26.5,19.9,1.76,31.3,70.4,36.9,6.66
Georgia,SEC,66.8,115.5,96.6,52.5,19.1,36.3,39.4,46.9,18.3,32.4,29.4,1.6,1.6,32.1,28.7,1.87,33.2,71.8,36.6,13.79
Georgia Southern,SB,69.8,103.1,110.1,50.5,19.2,33.0,26.5,50.1,18.2,33.2,43.5,0.2,-0.4,39.7,36.6,1.26,34.8,65.2,44.6,-4.0
Georgia St.,SB,69.2,106.8,115.8,50.2,16.7,32.6,32.5,51.5,13.1,31.8,25.8,0.6,0.4,21.2,16.4,1.74,34.3,68.4,33.7,-2.86
Georgia Tech,ACC,68.8,108.3,101.4,50.5,17.0,29.9,32.3,49.1,16.0,28.6,29.4,0.9,0.5,30.4,28.2,1.93,34.3,68.1,36.3,6.38
Gonzaga,WCC,70.4,125.2,97.9,56.4,13.5,33.2,30.9,47.6,17.9,26.2,28.8,0.7,0.5,32.0,70.7,2.97,35.3,80.3,34.0,6.93
Grambling St.,SWAC,64.3,96.9,111.7,47.4,19.6,26.4,35.8,51.2,18.0,30.2,31.8,0.3,-0.1,31.6,34.4,0.9,31.7,72.0,35.4,-5.92
Grand Canyon,WAC,71.9,105.9,99.5,50.4,18.9,32.3,42.7,46.4,20.5,27.6,31.5,0.6,0.2,30.8,58.4,2.62,32.0,73.4,34.5,-2.63
Green Bay,Horz,69.0,101.2,116.9,51.2,18.2,17.6,37.6,54.7,14.8,31.9,35.8,-1.9,-1.9,37.7,35.4,1.19,33.2,78.9,46.5,-1.02
Hampton,CAA,65.7,104.5,108.4,47.8,16.1,33.8,30.2,52.6,18.7,28.0,42.8,-0.7,-1.2,37.9,11.8,1.83,32.9,70.8,36.6,-2.15
Harvard,Ivy,65.8,102.1,110.4,50.8,18.2,25.1,24.5,52.4,17.3,31.6,24.3,-2.0,-2.6,24.9,39.2,1.3,32.2,77.6,40.1,-1.49
Hawaii,BW,66.1,104.0,108.2,50.8,20.7,31.0,40.7,49.2,13.3,24.6,34.4,1.3,0.6,41.2,25.0,1.57,31.0,73.9,36.9,-1.07
High Point,BSth,66.9,118.7,109.9,56.6,15.4,33.3,38.6,48.8,16.4,30.1,37.2,0.7,1.5,36.5,52.9,2.37,36.9,76.8,39.5,-5.16
Hofstra,CAA,63.9,98.4,103.1,48.8,17.8,25.1,25.7,46.2,16.5,28.9,37.5,-0.4,0.0,34.5,22.2,1.4,32.5,71.6,42.0,-1.67
Holy Cross,PL,66.3,102.3,116.3,52.9,17.8,23.2,23.0,53.8,13.7,27.1,25.0,-1.6,-2.1,27.0,46.6,1.13,38.1,71.7,42.4,-5.57
Houston,B12,61.2,124.9,89.5,53.2,14.8,36.9,27.1,45.1,21.8,29.0,35.3,-0.6,-1.4,29.4,66.9,2.63,39.8,74.0,34.0,12.79
Houston Christian,Slnd,65.1,102.5,111.4,49.3,18.1,26.9,30.6,52.8,17.8,31.9,29.2,-2.2,-3.0,28.9,9.5,0.84,32.6,70.2,43.8,-2.15
Howard,MEAC,69.5,105.3,118.0,54.5,21.2,27.3,35.9,53.0,16.4,32.8,40.2,-0.7,-1.0,24.8,31.9,1.8,37.5,76.3,38.0,-6.35
